TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail,Severity,Priority,Screenshot Link
NC12,Verify Amount Field,Amount field accepts valid numbers,"1) Enter valid amount in ""Amount"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC13,Verify Description Field,Description field cannot be empty,"1) Do not enter a value in ""Description"" field",,"An error message ""Description must not be blank"" must shown","An error message ""Description must not be blank"" shown",Pass,,,
,,,2) Press TAB and move to next field,,,,,,,
,,,,,,,,,,
NC14,Verify Description Field,Description field accepts valid characters,"1) Enter valid characters in ""Description"" field",,Manger/ Customer moved to the next field successfully without error message,Manger/ Customer moved to the next field successfully without error message,Pass,,,
,,,2) Press TAB and move to the next field,,,,,,,
,,,,,,,,,,
NC15,Verify Submit Button ,"Manager/ Customer successfully submit the customer data after entering valid data in the ""Fund Transfer"" fields ","1) Enter a valid ""Payers account no"" ",,The manager/ customer successfully make a fund transfer,The manager/ customer successfully make a fund transfer,Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC16,Verify Submit Button ,Manager/ Customer can't submit the customer data while all or any of the required fields is empty ,1) Don't enter any data in all the new account fields ,,"An error message ""Please fill all fields"" must shown","An error message ""Please fill all fields"" must shown",Pass,,,
,,,"2) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC17,Verify Reset Button,Manger/ Customer can reset the customer data,"1) Leave the ""Payers account no"" field empty",,All the customer data entered in the fund transfer fields must be deleted ,All the customer data entered in the fund transfer fields deleted ,Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Reset"" button ",,,,,,,
,,,,,,,,,,
NC18,Verify Reset Button,Nothing happen when clicking on reset button without entering any data in the New Account fields,1) Don't enter any data in all the new account fields ,,All the new account data fields remains empty,All the new account data fields remains empty,Pass,,,
,,,"2) Click on the ""Reset"" button ",,,,,,,
,,,,,,,,,,
NC19,Verify Manger Authority,Manager can make a fund transfer if the customer account associated with him,"1) Enter a valid ""Payers account no"" associated with the manager",Accounts No. associated to the manager,Manager successfully made a fund transfer,Manager successfully made a fund transfer,Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC20,Verify Manger Authority,Manager can't make a fund transfer if the customer account associated with him,"1) Enter a valid ""Payers account no"" not associated with the manager ",,"An error message ""You are not authorize to do fund transfer!!"" must shown","An error message ""You are not authorize to do fund transfer!!"" shown",Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button",,,,,,,
,,,,,,,,,,
NC21,Verify Manger Authority,Manager can't make a fund transfer if the payers account no is the same as the payees account no,"1) Enter a valid ""Payers account no"" associated with the manager",Accounts No. associated to the manager,"An error message ""Invalid Transfer"" must shown",Fund transfer successfully done,Fail,Major,High,https://ibb.co/GM5rCzQ
,,,"2) Enter a valid ""Payees account no"" same as ""Payers account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC22,Verify Manger Authority,Manager can't make a fund transfer if the payers account not have enough balance ,"1) Enter a valid ""Payers account no"" associated with the manager",Accounts No. associated to the manager,"An error message ""You cant Transfer your account balance is low!!!"" must shown","An error message ""You cant Transfer your account balance is low!!!"" shown",Pass,,,
,,,"2) Enter a valid ""Payees account no"" ",,,,,,,
,,,"3) Enter a valid ""Amount"" greater than the payers balance ",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC23,Verify Customer Authority,Customer can make a fund transfer if the customer account id associated with him,"1) Enter a valid ""Payers account no"" associated with the customer ",Accounts No. associated to the customer ,Customer  successfully made a fund transfer,Customer  successfully made a fund transfer,Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC24,Verify Customer Authority,Customer can't  make a fund transfer if the customer account id associated with him,"1) Enter a valid ""Payers account no"" not associated with the customer ",,"An error message ""No details found for this accounts !!!"" must shown","An error message ""No details found for this accounts !!!"" shown",Pass,,,
,,,"2) Enter a valid ""Payees account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC25,Verify Customer Authority,Customer can't make a fund transfer if the payers account no is the same as the payees account no,"1) Enter a valid ""Payers account no"" associated with the customer",Accounts No. associated to the customer ,"An error message ""Your Account Balance is low You cant Transfer Balance !!!"" must shown","An error message ""Your Account Balance is low You cant Transfer Balance !!!"" shown",Pass,,,
,,,"2) Enter a valid ""Payees account no"" same as ""Payers account no""",,,,,,,
,,,"3) Enter a valid ""Amount""",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button ",,,,,,,
,,,,,,,,,,
NC26,Verify Customer Authority,Customer can't make a fund transfer if the payers account not have enough balance ,"1) Enter a valid ""Payers account no"" associated with the manager ",Accounts No. associated to the customer ,"An error message ""Your Account Balance is low You cant Transfer Balance !!!"" must shown","An error message ""Your Account Balance is low You cant Transfer Balance !!!"" shown",Pass,,,
,,,"2) Enter a valid ""Payees account no"" ",,,,,,,
,,,"3) Enter a valid ""Amount"" greater than the payers balance ",,,,,,,
,,,"4) Enter a valid ""Description""",,,,,,,
,,,"5) Click on the ""Submit"" button",,,,,,,
